"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"active-canonical","skills","technical-writing-craft-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\technical-writing-craft-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/technical-writing-craft-stinger"
"canonical-authority","skills","technical-writing-craft-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/technical-writing-craft-stinger"
"superseded-legacy","skills","technical-writing-craft-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/technical-writing-craft-weapon"
"active-canonical","agents","technical-writing-craft-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\technical-writing-craft-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/technical-writing-craft-worker-bee.md"
"canonical-authority","agents","technical-writing-craft-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/technical-writing-craft-worker-bee.toml"
"superseded-legacy","agents","telegram-bot-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/telegram-bot-guardian.md"
"active-canonical","skills","telegram-bot-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\telegram-bot-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/telegram-bot-stinger"
"canonical-authority","skills","telegram-bot-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/telegram-bot-stinger"
"superseded-legacy","skills","telegram-bot-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/telegram-bot-weapon"
"active-canonical","agents","telegram-bot-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\telegram-bot-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/telegram-bot-worker-bee.md"
"canonical-authority","agents","telegram-bot-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/telegram-bot-worker-bee.toml"
"superseded-legacy","agents","terminal-bash-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/terminal-bash-guardian.md"
"active-canonical","skills","terminal-bash-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\terminal-bash-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/terminal-bash-stinger"
"canonical-authority","skills","terminal-bash-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/terminal-bash-stinger"
"superseded-legacy","skills","terminal-bash-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/terminal-bash-weapon"
"active-canonical","agents","terminal-bash-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\terminal-bash-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/terminal-bash-worker-bee.md"
"canonical-authority","agents","terminal-bash-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/terminal-bash-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","testimonial-miner","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\testimonial-miner","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/testimonial-miner"
"quarantine-unpaired-or-legacy","skills","thanos-gauntlet-glove","user global agents","8/14/2026 11:10:36 AM","quarantine\skills\thanos-gauntlet-glove","unpaired or unmatched legacy asset",".agents/skills/thanos-gauntlet-glove"
"renamed-command","skills","the-beekeeper","vibe-coding-tools local agents","9/5/2026 8:56:11 AM","","renamed-command","GitHub/vibe-coding-tools/.agents/skills/the-beekeeper"
"canonical-authority","commands","the-beekeeper.md","vibe-coding-tools local cursor","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/commands/the-beekeeper.md"
"canonical-remapped","commands","the-beekeeper.md","vibe-coding-tools canonical","8/15/2026 12:42:12 AM","commands/beekeeper.md","renamed to beekeeper","GitHub/vibe-coding-tools/.claude/commands/the-beekeeper.md"
"renamed-command","skills","the-smoker","vibe-coding-tools local agents","9/5/2026 8:56:11 AM","","renamed-command","GitHub/vibe-coding-tools/.agents/skills/the-smoker"
"canonical-authority","commands","the-smoker.md","vibe-coding-tools local cursor","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/commands/the-smoker.md"
"canonical-remapped","commands","the-smoker.md","vibe-coding-tools canonical","8/15/2026 12:42:12 AM","commands/smoke-it.md","renamed to smoke-it","GitHub/vibe-coding-tools/.claude/commands/the-smoker.md"
"active-canonical","skills","typescript-node-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\typescript-node-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/typescript-node-stinger"
"canonical-authority","skills","typescript-node-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/typescript-node-stinger"
"active-canonical","agents","typescript-node-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\typescript-node-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/typescript-node-worker-bee.md"
"canonical-authority","agents","typescript-node-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/typescript-node-worker-bee.toml"
"superseded-legacy","agents","typography-font-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/typography-font-guardian.md"
"active-canonical","skills","typography-font-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\typography-font-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/typography-font-stinger"
"canonical-authority","skills","typography-font-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/typography-font-stinger"
"superseded-legacy","skills","typography-font-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/typography-font-weapon"
"active-canonical","agents","typography-font-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\typography-font-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/typography-font-worker-bee.md"
"canonical-authority","agents","typography-font-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/typography-font-worker-bee.toml"
"superseded-legacy","agents","ux-ui-guardian.md","legion-suite cursor","5/23/2026 2:04:09 AM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/ux-ui-guardian.md"
"active-paired","skills","ux-ui-stinger","user global claude","6/18/2026 5:54:44 AM","skills\ux-ui-stinger","complete pair or additive non-pair asset",".claude/skills/ux-ui-stinger"
"active-canonical","skills","ux-ui-svelte-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\ux-ui-svelte-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/ux-ui-svelte-stinger"
"canonical-authority","skills","ux-ui-svelte-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/ux-ui-svelte-stinger"
"active-canonical","agents","ux-ui-svelte-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\ux-ui-svelte-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/ux-ui-svelte-worker-bee.md"
"canonical-authority","agents","ux-ui-svelte-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/ux-ui-svelte-worker-bee.toml"
"superseded-legacy","skills","ux-ui-weapon","legion-suite cursor","5/21/2026 12:01:14 AM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/ux-ui-weapon"
"active-paired","agents","ux-ui-worker-bee.md","user global claude","6/18/2026 5:58:52 AM","agents\ux-ui-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/ux-ui-worker-bee.md"
"active-canonical","skills","vector-store-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\vector-store-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/vector-store-stinger"
"canonical-authority","skills","vector-store-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/vector-store-stinger"
"active-canonical","agents","vector-store-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\vector-store-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/vector-store-worker-bee.md"
"canonical-authority","agents","vector-store-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/vector-store-worker-bee.toml"
"active-canonical","skills","vercel-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\vercel-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/vercel-stinger"
"canonical-authority","skills","vercel-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/vercel-stinger"
"active-canonical","agents","vercel-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\vercel-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/vercel-worker-bee.md"
"canonical-authority","agents","vercel-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/vercel-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","weapon-forge","legion-suite cursor","5/22/2026 11:01:56 PM","quarantine\skills\weapon-forge","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/skills/weapon-forge"
"superseded-legacy","agents","website-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/website-guardian.md"
"active-canonical","skills","website-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\website-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/website-stinger"
"canonical-authority","skills","website-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/website-stinger"
"superseded-legacy","skills","website-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/website-weapon"
"active-canonical","agents","website-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\website-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/website-worker-bee.md"
"canonical-authority","agents","website-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/website-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","weekly-review","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\weekly-review","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/weekly-review"
"quarantine-unpaired-or-legacy","skills","who-am-i-ghosting","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\who-am-i-ghosting","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/who-am-i-ghosting"
"superseded-legacy","agents","wiki-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/wiki-guardian.md"
"active-canonical","skills","wiki-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\wiki-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/wiki-stinger"
"canonical-authority","skills","wiki-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/wiki-stinger"
"superseded-legacy","skills","wiki-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/wiki-weapon"
"active-canonical","agents","wiki-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\wiki-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/wiki-worker-bee.md"
"canonical-authority","agents","wiki-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/wiki-worker-bee.toml"
"active-canonical","skills","workos-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\workos-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/workos-stinger"
"canonical-authority","skills","workos-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/workos-stinger"
"active-canonical","agents","workos-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\workos-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/workos-worker-bee.md"
"canonical-authority","agents","workos-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/workos-worker-bee.toml"
